,Nuevos Ingresos Hospitalarios,Vizcaya,Álava,Guipuzcoa,01 Araba,02 Cruces,03 Donosti,04 Basurto,05 Galdakao,06 Zumarraga,07 Bidasoa,08 Mendaro,09 Alto Deba,10 San Eloy,11 Urduliz,12 Eibar,13 Leza,14 Sta Marina,15 Gorliz,BERMEO H.,ZALDIBAR H.,ZAMUDIO H.,ÁLAVA PSIQUIÁTRICO H.
01/03/2020,21,10,6,5,6,2,4,2,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0
02/03/2020,43,23,11,9,11,9,6,6,3,1,1,0,1,1,0,0,0,3,1,0,0,0,0
03/03/2020,51,28,11,12,11,10,7,7,6,1,0,2,2,0,1,0,0,2,1,0,0,1,0
04/03/2020,62,33,13,16,13,12,12,11,7,1,2,0,1,1,0,0,0,1,1,0,0,0,0
05/03/2020,55,29,16,10,16,11,5,7,4,1,0,1,3,1,1,0,0,3,0,0,1,1,0
06/03/2020,41,17,10,14,10,5,10,7,1,2,1,0,1,2,0,0,0,1,1,0,0,0,0
07/03/2020,49,28,18,3,18,14,2,3,7,0,0,1,0,2,0,0,0,2,0,0,0,0,0
08/03/2020,37,14,16,7,16,3,5,4,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0
09/03/2020,83,28,32,23,30,11,19,4,7,1,0,1,0,2,0,2,2,1,3,0,0,0,0
10/03/2020,80,39,35,6,34,11,3,8,8,1,1,0,1,3,4,0,1,4,0,0,0,1,0
11/03/2020,79,32,36,11,36,13,9,9,7,1,1,0,0,0,1,0,0,2,0,0,0,0,0
12/03/2020,107,44,47,16,47,13,12,14,8,1,0,2,1,2,4,0,0,3,0,0,0,0,0
13/03/2020,101,37,44,20,43,11,13,11,9,0,0,1,5,2,2,1,1,2,0,0,0,0,0
14/03/2020,69,28,34,7,34,9,4,6,7,1,0,0,1,2,3,1,0,1,0,0,0,0,0
15/03/2020,72,28,24,20,24,9,7,5,6,2,1,1,4,3,1,5,0,4,0,0,0,0,0
16/03/2020,101,55,35,11,34,16,6,11,12,0,0,1,1,5,5,3,1,5,0,0,0,1,0
17/03/2020,137,62,54,21,54,18,12,10,16,2,1,2,1,3,8,3,0,7,0,0,0,0,0
18/03/2020,179,98,58,23,57,38,11,16,22,3,3,2,1,3,7,3,0,10,2,0,0,0,1
19/03/2020,165,96,55,14,55,24,13,31,18,0,0,0,0,4,13,1,0,5,1,0,0,0,0
20/03/2020,210,106,63,41,63,25,17,28,23,1,2,5,13,6,5,3,0,16,3,0,0,0,0
21/03/2020,243,151,63,29,63,37,13,37,35,3,5,3,3,4,19,2,0,16,3,0,0,0,0
22/03/2020,170,117,30,23,30,31,14,28,14,3,2,1,2,5,15,1,0,19,5,0,0,0,0
23/03/2020,239,140,51,48,51,37,27,39,18,4,3,6,7,9,9,1,0,19,9,0,0,0,0
24/03/2020,364,222,86,56,85,62,31,55,45,7,2,3,4,13,23,9,0,18,6,0,0,0,1
25/03/2020,347,224,66,57,66,54,35,53,56,3,5,7,4,14,21,3,0,9,17,0,0,0,0
